{'folder': 1, 'file': 375, 'shape': (1280, 960, 3)}
{'folder': 1, 'file': 381, 'shape': (1280, 960, 3)}
{'folder': 1, 'file': 382, 'shape': (1280, 960, 3)}
{'folder': 1, 'file': 383, 'shape': (1280, 960, 3)}
{'folder': 2, 'file': 3, 'shape': (1280, 960, 3)}
{'folder': 5, 'file': 97, 'shape': (1280, 960, 3)}
{'folder': 5, 'file': 192, 'shape': (1280, 960, 3)}
{'folder': 5, 'file': 243, 'shape': (1280, 960, 3)}
{'folder': 5, 'file': 235, 'shape': (1280, 853, 3)}
{'folder': 2, 'file': 1, 'shape': (1280, 848, 3)}
{'folder': 1, 'file': 362, 'shape': (1280, 838, 3)}
{'folder': 5, 'file': 156, 'shape': (1270, 963, 3)}
{'folder': 5, 'file': 210, 'shape': (1058, 699, 3)}
{'folder': 1, 'file': 296, 'shape': (1024, 1024, 3)}
{'folder': 6, 'file': 25, 'shape': (1024, 1024, 3)}
{'folder': 1, 'file': 215, 'shape': (1024, 1008, 3)}
{'folder': 5, 'file': 34, 'shape': (1024, 993, 3)}
{'folder': 1, 'file': 182, 'shape': (1024, 965, 3)}
{'folder': 1, 'file': 109, 'shape': (1024, 925, 3)}
{'folder': 1, 'file': 54, 'shape': (1024, 895, 3)}
{'folder': 1, 'file': 282, 'shape': (1024, 886, 3)}
{'folder': 1, 'file': 306, 'shape': (1024, 853, 3)}
{'folder': 5, 'file': 257, 'shape': (1024, 850, 3)}
{'folder': 1, 'file': 235, 'shape': (1024, 834, 3)}
{'folder': 1, 'file': 321, 'shape': (1024, 829, 3)}
{'folder': 1, 'file': 370, 'shape': (1024, 827, 3)}
{'folder': 1, 'file': 53, 'shape': (1024, 819, 3)}
{'folder': 3, 'file': 197, 'shape': (1024, 809, 3)}
{'folder': 1, 'file': 40, 'shape': (1024, 790, 3)}
{'folder': 1, 'file': 128, 'shape': (1024, 789, 3)}
{'folder': 1, 'file': 337, 'shape': (1024, 788, 3)}
